iter	RMSE
0	39.53642899
1	37.58329044
2	35.75004423
3	34.03034908
4	32.4411865
5	30.9697662
6	29.66388779
7	28.43224613
8	27.3218059
9	26.28120914
10	25.33704163
11	24.4562338
12	23.64969887
13	22.91509475
14	22.27721253
15	21.68781709
16	21.1628945
17	20.66606655
18	20.22352745
19	19.81706802
20	19.45229096
21	19.13516947
22	18.83045903
23	18.54888846
24	18.30094697
25	18.08688281
26	17.88391987
27	17.70743884
28	17.5434479
29	17.40226787
30	17.27487346
31	17.12232634
32	17.01024997
33	16.91032956
34	16.80213945
35	16.7200657
36	16.63078323
37	16.56903423
38	16.49108565
39	16.42851502
40	16.36037052
41	16.29829361
42	16.25112398
43	16.18067079
44	16.10921217
45	16.05019945
46	16.00939083
47	15.94281758
48	15.906765
49	15.87750287
50	15.84807776
51	15.8273266
52	15.79310066
53	15.77389704
54	15.75011922
55	15.71442474
56	15.69902551
57	15.66866376
58	15.65209931
59	15.64036435
60	15.62383993
61	15.60053653
62	15.57766624
63	15.54462879
64	15.53165498
65	15.50071003
66	15.48011873
67	15.46092886
68	15.44265248
69	15.42030572
70	15.39448509
71	15.36186965
72	15.34227035
73	15.32826176
74	15.31258456
75	15.28695257
76	15.26397945
77	15.25050397
78	15.22508202
79	15.19760478
80	15.18601104
81	15.1725894
82	15.15888531
83	15.13077024
84	15.10671529
85	15.09368618
86	15.08081243
87	15.03649468
88	15.02538746
89	15.0211914
90	14.9898345
91	14.97201487
92	14.94516388
93	14.93216579
94	14.91091768
95	14.89665735
96	14.86176398
97	14.84893135
98	14.83783019
99	14.82190221
100	14.80081924
101	14.78628
102	14.77919312
103	14.75960191
104	14.75013301
105	14.73317015
106	14.71018885
107	14.69367947
108	14.68376472
109	14.65034225
110	14.64612614
111	14.6312992
112	14.62479227
113	14.60965507
114	14.59548731
115	14.5608108
116	14.54654766
117	14.52602456
118	14.49633858
119	14.47672552
120	14.46048572
121	14.421452
122	14.39752737
123	14.36823069
124	14.35491543
125	14.33306689
126	14.31065025
127	14.29785137
128	14.27161153
129	14.26138125
130	14.24779562
131	14.23359387
132	14.22636632
133	14.20708937
134	14.18347524
135	14.16837882
136	14.1474215
137	14.13531638
138	14.11708489
139	14.09812183
140	14.08291151
141	14.06818847
142	14.0536069
143	14.02774296
144	14.00922557
145	13.99762962
146	13.97779067
147	13.96188364
148	13.94491463
149	13.92790787
150	13.9182728
151	13.90420467
152	13.88671214
153	13.87176988
154	13.85228606
155	13.83267301
156	13.82219203
157	13.80297583
158	13.78500315
159	13.76812787
160	13.75104173
161	13.73847404
162	13.72495786
163	13.71525778
164	13.70232982
165	13.68091134
166	13.65662593
167	13.64371757
168	13.62586907
169	13.61997432
170	13.60063594
171	13.57634009
172	13.56054327
173	13.55137652
174	13.5339871
175	13.51341689
176	13.49956386
177	13.48214803
178	13.4715845
179	13.45971214
180	13.45145345
181	13.43677349
182	13.42024935
183	13.39866006
184	13.39089253
185	13.37974528
186	13.36069721
187	13.34579255
188	13.32315124
189	13.31400697
190	13.29274473
191	13.28345372
192	13.27143502
193	13.26536064
194	13.24551688
195	13.22601611
196	13.21581833
197	13.19285491
198	13.18322183
199	13.16602651
200	13.157628
201	13.14184492
202	13.13144896
203	13.1155787
204	13.09995034
205	13.08331945
206	13.06982472
207	13.06161256
208	13.0493074
209	13.04132018
210	13.02961442
211	13.01329528
212	12.99952671
213	12.99089059
214	12.98527079
215	12.97479025
216	12.96094027
217	12.95791959
218	12.93260677
219	12.91067756
220	12.89025488
221	12.86875716
222	12.86038396
223	12.85143273
224	12.84129825
225	12.82735527
226	12.82098143
227	12.79401028
228	12.77418475
229	12.7544111
230	12.74869913
231	12.74087928
232	12.73565208
233	12.72672475
234	12.70887871
235	12.69262241
236	12.67446952
237	12.65814145
238	12.64995404
239	12.62426175
240	12.61896462
241	12.61153188
242	12.59279392
243	12.57543857
244	12.57042344
245	12.5484562
246	12.53280732
247	12.51232318
248	12.49524375
249	12.4720743
250	12.45216086
251	12.43441694
252	12.4256386
253	12.40707847
254	12.3931687
255	12.38196787
256	12.36495882
257	12.348043
258	12.33974601
259	12.32347702
260	12.30458636
261	12.30108623
262	12.29308191
263	12.27660327
264	12.25560668
265	12.24055816
266	12.20832067
267	12.20156641
268	12.19596542
269	12.18138797
270	12.17438417
271	12.16796181
272	12.15877209
273	12.14348379
274	12.12200212
275	12.10601148
276	12.09895131
277	12.09326127
278	12.07933071
279	12.06982552
280	12.06002532
281	12.04686215
282	12.04141144
283	12.02559448
284	12.01643388
285	12.00667292
286	11.98671918
287	11.98243403
288	11.96971748
289	11.96402772
290	11.94989327
291	11.93625465
292	11.92135307
293	11.91389167
294	11.89634071
295	11.87955026
296	11.86142773
297	11.8499242
298	11.83543409
299	11.81898304
300	11.81207034
301	11.80534145
302	11.80077539
303	11.79317045
304	11.77672487
305	11.77295417
306	11.75877702
307	11.74575559
308	11.7339312
309	11.72598929
310	11.71988173
311	11.70645991
312	11.69502141
313	11.68645323
314	11.68167173
315	11.66832638
316	11.64838874
317	11.63454435
318	11.61694476
319	11.59464227
320	11.58414323
321	11.57152037
322	11.56588499
323	11.55480911
324	11.53608009
325	11.52500565
326	11.51881189
327	11.50205999
328	11.49361762
