iter	Passed	Remaining
563	2767	2139
564	2771	2133
565	2776	2128
566	2780	2123
567	2785	2118
568	2789	2112
569	2793	2107
570	2798	2102
571	2803	2097
572	2807	2092
573	2812	2087
574	2816	2082
575	2820	2076
576	2826	2072
577	2830	2066
578	2835	2061
579	2840	2056
580	2845	2051
581	2849	2046
582	2854	2041
583	2859	2036
584	2863	2031
585	2867	2025
586	2871	2020
587	2876	2015
588	2881	2010
589	2885	2004
590	2889	1999
591	2893	1994
592	2898	1989
593	2903	1984
594	2908	1979
595	2912	1974
596	2916	1969
597	2921	1963
598	2925	1958
599	2930	1953
600	2934	1948
601	2939	1943
602	2943	1938
603	2948	1933
604	2953	1928
605	2957	1922
606	2962	1918
607	2966	1912
608	2971	1907
609	2975	1902
610	2980	1897
611	2985	1892
612	2990	1887
613	2994	1882
614	2999	1877
615	3004	1872
616	3008	1867
617	3013	1862
618	3017	1857
619	3021	1852
620	3025	1846
621	3030	1841
622	3034	1836
623	3038	1831
624	3044	1826
625	3048	1821
626	3053	1816
627	3058	1811
628	3062	1806
629	3068	1801
630	3072	1796
631	3077	1792
632	3082	1786
633	3086	1781
634	3090	1776
635	3095	1771
636	3100	1766
637	3105	1762
638	3110	1757
639	3114	1752
640	3119	1747
641	3124	1742
642	3128	1736
643	3133	1732
644	3138	1727
645	3144	1722
646	3149	1718
647	3153	1713
648	3158	1708
649	3162	1703
650	3167	1698
651	3172	1693
652	3176	1687
653	3181	1682
654	3185	1677
655	3189	1672
656	3194	1667
657	3199	1663
658	3204	1658
659	3208	1653
660	3213	1648
661	3217	1642
662	3223	1638
663	3228	1633
664	3232	1628
665	3237	1623
666	3242	1618
667	3247	1613
668	3251	1608
669	3256	1603
670	3261	1599
671	3265	1593
672	3270	1589
673	3275	1584
674	3280	1579
675	3284	1574
676	3288	1568
677	3293	1564
678	3297	1559
679	3303	1554
680	3307	1549
681	3312	1544
682	3317	1539
683	3321	1534
684	3326	1529
685	3330	1524
686	3335	1519
687	3340	1514
688	3345	1510
689	3350	1505
690	3355	1500
691	3360	1495
692	3365	1490
693	3369	1485
694	3374	1481
695	3378	1475
696	3383	1471
697	3388	1466
698	3393	1461
699	3397	1456
700	3402	1451
701	3407	1446
702	3411	1441
703	3416	1436
704	3420	1431
705	3425	1426
706	3429	1421
707	3433	1416
708	3438	1411
709	3443	1406
710	3448	1401
711	3452	1396
712	3457	1391
713	3462	1386
714	3466	1381
715	3471	1376
716	3475	1371
717	3480	1366
718	3484	1361
719	3489	1357
720	3493	1351
721	3498	1347
722	3502	1342
723	3507	1337
724	3512	1332
725	3516	1327
726	3521	1322
727	3525	1317
728	3530	1312
729	3534	1307
730	3539	1302
731	3544	1297
732	3548	1292
733	3553	1287
734	3557	1282
735	3562	1277
736	3567	1272
737	3572	1268
738	3577	1263
739	3582	1258
740	3588	1254
741	3594	1249
742	3600	1245
743	3606	1240
744	3610	1235
745	3615	1231
746	3619	1225
747	3624	1221
748	3628	1216
749	3633	1211
750	3637	1206
751	3642	1201
752	3646	1196
753	3652	1191
754	3657	1186
